tender_no,nature,awarded_to,l1_price,basic,qty,category,comp_a,comp_c,comp_d,comp_b,comp_e,comp_h,comp_i,comp_j,comp_k,comp_l,zone,division,year,month,day
55078,supply,comp_a,1883.0,1596.0,2000,52kg,1883.0,1979.64,2155.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ER,HWH,2023,8,21
55078,supply,comp_a,1996.0,1691.0,2000,60kg,1996.0,2097.77,2284.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ER,HWH,2023,8,21
55078,supply,comp_a,1653.0,1401.0,10000,r260,1653.0,1738.0,1892.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ER,HWH,2023,8,21
55078,execution,comp_a,4480.0,3797.0,200,60kg,4480.0,4709.19,5127.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ER,HWH,2023,8,21
55079,supervision,comp_a,2800.0,2373.0,200,r260,2800.0,2152.0,3123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,DNR,2023,8,23
55079,supply,comp_a,2200.0,1864.0,400,r260,2200.0,1721.0,2655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,DNR,2023,8,23
55079,supply,comp_a,2800.0,2373.0,300,60kg,2800.0,3395.0,3123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,DNR,2023,8,23
55079,supervision,comp_a,2750.0,2331.0,100,52kg,2750.0,3336.0,3096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,DNR,2023,8,23
55079,supervision,comp_a,2400.0,2034.0,300,60kg,2400.0,3361.0,2655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,DNR,2023,8,23
55079,supervision,comp_a,2500.0,2119.0,100,52kg,2500.0,3018.0,2601.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,DNR,2023,8,23
55080,supply,comp_c,1992.0,1688.0,4000,r260,2279.42,1992.0,2279.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NCR,PRYJ,2023,8,31
55081,supervision,comp_d,2434.0,2063.0,2000,60kg,2483.22,2504.99,2434.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,DDU,2023,8,31
55081,supervision,comp_d,2867.0,2430.0,200,52kg,2925.13,2950.77,2867.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,DDU,2023,8,31
55081,supervision,comp_d,3122.0,2646.0,1326,r260,3185.49,3213.41,3122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ECR,DDU,2023,8,31
